Ref. Charge Code,Category,NCIC Category,Long Description,
307.055-999N199654,Motor Vehicle,54,FAILED TO HAVE SINGLE-BEAM HEADLAMP PROPERLY AIMED/WITH AN INTENSITY TO SEE PERSONS/VEHICLE 200 FEET,
307.065-999N199654,Motor Vehicle,54,FAIL TO HAVE VEHICLE EQUIPPED WITH A PROPER BEAM INDICATOR FOR MULTI-BEAM HEADLAMPS,
307.065-001N201054,Motor Vehicle,54,FAIL TO HAVE VEHICLE EQUIPPED WITH A PROPER BEAM INDICATOR FOR MULTI-BEAM HEADLAMPS,
307.080-999N197554,Motor Vehicle,54,EQUIPPED MTR VEH WITH MORE THAN 3 AUX LAMPS ON FRONT/MOUNTED AUX LAMPS IMPROPER,
307.080-998N199654,Motor Vehicle,54,EQUIP MOTOR VEHICLE WITH MORE THAN 3 AUXILLIARY LAMPS ON FRONT/MOUNTED AUXILLIARY LAMPS IMPROPERLY,
307.080-001N201054,Motor Vehicle,54,EQUIP MOTOR VEHICLE WITH MORE THAN 3 AUXILIARY LAMPS ON FRONT/MOUNTED AUXILIARY LAMPS IMPROPERLY,
307.085-999N197554,Motor Vehicle,54,EQUIPPED MTR VEH WITH MORE THAN 2 SIDE COWL/FENDER LAMPS/WRONG COLOR SIDE LAMPS,
307.085-998N199654,Motor Vehicle,54,EQUIP MOTOR VEHICLE WITH MORE THAN 2 SIDE COWL/FENDER LAMPS/WRONG COLOR SIDE LAMPS,
307.085-001N201054,Motor Vehicle,54,EQUIP MOTOR VEHICLE WITH MORE THAN 2 SIDE COWL/FENDER LAMPS/WRONG COLOR SIDE LAMPS,
307.085-997N197554,Motor Vehicle,54,EQUIPPED MTR VEH WITH BACKUP LAMP THAT IS LIGHTED WHEN VEH IS IN FORWARD MOTION,
307.085-996N199654,Motor Vehicle,54,EQUIP MOTOR VEHICLE WITH BACKUP LAMP THAT IS LIGHTED WHEN VEHICLE IS IN FORWARD MOTION,
307.085-002N201054,Motor Vehicle,54,EQUIP MOTOR VEHICLE WITH BACKUP LAMP THAT IS LIGHTED WHEN VEHICLE IS IN FORWARD MOTION,
307.090-999N197554,Motor Vehicle,54,EQUIP MOTOR VEHICLE WITH MORE THAN 1 SPOTLAMP,
307.090-998N200954,Motor Vehicle,54,EQUIPPED MOTOR VEHICLE WITH MORE THAN 1 SPOTLAMP,
307.090-001N201054,Motor Vehicle,54,EQUIPPED MOTOR VEHICLE WITH MORE THAN 1 SPOTLAMP,
307.090-997N197554,Motor Vehicle,54,AIMED OR USED A MOTOR VEHICLE SPOTLAMP IN A GLARING MANNER/TO DAZZLE A PERSON,
307.090-996N200954,Motor Vehicle,54,AIM/USE A MOTOR VEHICLE SPOTLAMP IN A GLARING MANNER/TO DAZZLE A PERSON,
307.090-002N201054,Motor Vehicle,54,AIM/USE A MOTOR VEHICLE SPOTLAMP IN A GLARING MANNER/TO DAZZLE A PERSON,
307.095-999N197554,Motor Vehicle,54,DISPLAYED LIGHTED HEADLAMPS OF COLOR NOT SUBSTANTIALLY WHITE,
307.095-998N199654,Motor Vehicle,54,DISPLAYED LIGHTED HEADLAMPS OF COLOR NOT SUBSTANTIALLY WHITE,
307.095-001N201054,Motor Vehicle,54,DISPLAYED LIGHTED HEADLAMPS OF COLOR NOT SUBSTANTIALLY WHITE,
307.095-997N197554,Motor Vehicle,54,DISPLAYED LIGHTED AUXILIARY LAMPS OF COLOR NOT SUBSTANTIALLY WHITE,
307.095-996N199654,Motor Vehicle,54,DISPLAYED LIGHTED AUXILLIARY LAMPS OF COLOR NOT SUBSTANTIALLY WHITE/YELLOW/AMBER,
307.095-002N201054,Motor Vehicle,54,DISPLAYED LIGHTED AUXILIARY LAMPS OF COLOR NOT SUBSTANTIALLY WHITE/YELLOW/AMBER,
307.095-995N197554,Motor Vehicle,54,DISPLAYED LIGHTED RED LAMP TO FRONT OF MOTOR VEHICLE,
307.095-994N199654,Motor Vehicle,54,DISPLAYED LIGHTED RED LAMP TO FRONT OF MOTOR VEHICLE,
307.095-003N201054,Motor Vehicle,54,DISPLAYED LIGHTED RED LAMP TO FRONT OF MOTOR VEHICLE,
307.100-999N197554,Motor Vehicle,54,USED LAMP OTHER THAN HEAD/SPOT/DIRECTIONAL/AUX ON MTR VEH PROJECTED BEAM 75 FT,
307.100-998N199654,Motor Vehicle,54,USED LAMP OTHER THAN HEAD/SPOT/DIRECTIONAL/AUXILLIARY ON MOTOR VEHICLE WHICH PROJECTED BEAM 75 FEET,
307.100-001N201054,Motor Vehicle,54,USED LAMP OTHER THAN HEAD/SPOT/DIRECTIONAL/AUXILIARY ON MOTOR VEHICLE WHICH PROJECTED BEAM 75 FEET,
307.100-997N200454,Motor Vehicle,54,USED ALTERNATIVE FLASHING SIGNAL ON COMMERCIAL PASSENGER TRANSPORT VEHICLE/RAILROAD PASSENGER CARS NOT LOADING/UNLOADING PASSENGER,
307.100-002N201054,Motor Vehicle,54,USED ALTERNATIVE FLASHING SIGNAL ON COMMERCIAL PASSENGER TRANSPORT VEHICLE/RAILROAD PASSENGER CARS NOT LOADING/UNLOADINGPASSENGER,
307.100-996N197554,Motor Vehicle,54,USED ALT FLASHING SIGNAL FOR PURPOSE NOT SCH BUS/MAIL TRSP/EMER VEH/TURN SIGNALS,
307.100-995N199654,Motor Vehicle,54,USED ALTERNATIVE FLASHING SIGNAL FOR PURPOSE NOT SCHOOL BUS/MAIL TRANSPORT/EMERGENCY VEHICLE/TURN SIGNAL/LOAD/UNLOAD PASSENGERS,
307.100-003N201054,Motor Vehicle,54,USED ALTERNATIVE FLASHING SIGNAL FOR PURPOSE NOT SCHOOL BUS/MAIL TRANSPORT/EMERGENCY VEHICLE/TURN SIGNAL/LOAD/UNLOAD PASSENGERS,
307.105-999N197554,Motor Vehicle,54,FAILED TO HAVE 2 LIGHTED HEADLAMPS 1 ON EACH SIDE OF PASSENGER CAR/TRUCK/BUS,
307.105-998N199654,Motor Vehicle,54,FAILED TO HAVE 2 LIGHTED HEADLAMPS - 1 ON EACH SIDE OF PASSENGER CAR/TRUCK/BUS,
307.105-001N201054,Motor Vehicle,54,FAILED TO HAVE 2 LIGHTED HEADLAMPS - 1 ON EACH SIDE OF PASSENGER CAR/TRUCK/BUS,
307.105-997N197554,Motor Vehicle,54,DISPLAYED MORE THAN 4 LIGHTED HEADLAMPS ON FRONT OF MOTOR VEHICLE,
307.105-996N199654,Motor Vehicle,54,DISPLAYED MORE THAN 4 LIGHTED HEADLAMPS ON FRONT OF MOTOR VEHICLE,
307.105-002N201054,Motor Vehicle,54,DISPLAYED MORE THAN 4 LIGHTED HEADLAMPS ON FRONT OF MOTOR VEHICLE,
307.110-999N197554,Motor Vehicle,54,FAILED TO DISPLAY PROPER LIGHTED LAMPS ON PARKED PASSENGER CAR/TRUCK/BUS,
307.110-998N199654,Motor Vehicle,54,FAILED TO DISPLAY PROPER LIGHTED LAMPS ON PARKED PASSENGER CAR/TRUCK/BUS,
307.110-001N201054,Motor Vehicle,54,FAILED TO DISPLAY PROPER LIGHTED LAMPS ON PARKED PASSENGER CAR/TRUCK/BUS,
307.115-999N197554,Motor Vehicle,54,FAILED TO HAVE LIGHTED LAMPS ON AGRI MACH/ROAD MACH/FARM TRAC/OR HAVE ADEQ LAMPS,
307.115-998N199654,Motor Vehicle,54,FAILED TO HAVE LIGHTED LAMPS ON AGRICULTURAL MACHINE/ROAD MACHINE/FARM TRACTOR/OR HAVE ADEQUATE LAMPS,
307.115-001N201054,Motor Vehicle,54,FAILED TO HAVE LIGHTED LAMPS ON AGRICULTURAL MACHINE/ROAD MACHINE/FARM TRACTOR/OR HAVE ADEQUATE LAMPS,
307.125-999N197554,Motor Vehicle,54,FAIL TO DISPLAY REQUIRED LIGHTED TAILLAMP/REFLECTOR/FLASHINGLIGHT/LAMP/LANTERN ON ANIMAL-DRIVEN VEHICLE,
307.125-998N198854,Motor Vehicle,54,FAIL TO DISPLAY REQUIRED FLASHING LIGHT ON ANIMAL-DRIVEN VEHICLE ON HIGHWAY,
307.125-001N200954,Motor Vehicle,54,"FAIL TO DISPLAY REQUIRED LIGHTED TAILLAMP, REFLECTOR, FLASHING LIGHT, LAMP OR LANTERN ON ANIMAL-DRIVEN VEHICLE",
307.125-002N200954,Motor Vehicle,54,FAIL TO DISPLAY REQUIRED FLASHING LIGHT ON ANIMAL-DRIVEN VEHICLE ON HIGHWAY,
307.127-999N197554,Motor Vehicle,54,FAILED TO DISPLAY ADEQUATE TRIANGULAR EMBLEM IN PROPER LOC ON SLOW MOVING VEHICL,
307.127-001N199654,Motor Vehicle,54,FAIL TO DISPLAY ADEQUATE TRIANGULAR EMBLEM IN PROPER LOCATION ON ANIMAL-DRIVEN VEHICLE,
307.165-001N197554,Motor Vehicle,54,FAILED TO EQUIP PASSENGER VEHICLE WITH 2 SETS OF FRONT SEAT SAFETY BELTS (MOTOR BUS EXCLUDED),
307.170-999N197554,Motor Vehicle,54,FAILED TO EQUIP MTR VEH WITH A HORN/MAINTAIN HORN IN GOOD WORKING ORDER,
307.170-001N199654,Motor Vehicle,54,FAIL TO EQUIP MOTOR VEHICLE WITH A HORN/MAINTAIN HORN IN GOOD CONDITION,
307.170-998N197554,Motor Vehicle,54,FAILED TO EQUIP VEH WITH MUFFLER/ ADEQUATE MUFFLER/ PROPERLY ATTACHED MUFFLER,
307.170-002N199654,Motor Vehicle,54,FAILED TO EQUIP VEHICLE WITH MUFFLER/ADEQUATE MUFFLER/PROPERLY ATTACHED MUFFLER,
307.170-997N197554,Motor Vehicle,54,OPERATED MTR VEH WITH BRAKES NOT IN GOOD WORKING ORDER(2 SETS EXCEPT MOTORCYCLE),
307.170-003N199654,Motor Vehicle,54,OPERATE MOTOR VEHICLE WITH BRAKES NOT IN GOOD WORKING ORDER (2 SETS EXCEPT MOTORCYCLE),
307.170-996N197554,Motor Vehicle,54,FAILED TO EQUIP MTR VEH WITH MIRROR TO REVEAL RD TO REAR (APPLIES CERTAIN COND),
307.170-004N199654,Motor Vehicle,54,FAIL TO EQUIP MOTOR VEHICLE WITH MIRROR TO REVEAL ROAD TO REAR (CERTAIN CONDITIONS),
307.172-001N201054,Motor Vehicle,54,OPERATE MOTOR VEHICLE WITH FRONT/REAR BUMPER(S) RAISED ABOVE MAXIMUM BUMPER HEIGHTS,
307.172-002N201054,Motor Vehicle,54,OPERATE MOTOR VEHICLE HAVING BUMPER(S) AS STANDARD EQUIPMENT WITHOUT FRONT/REAR BUMPERS,
307.170-995N197554,Motor Vehicle,54,FAILED TO DISPLAY RED FLAG/LAMP ON PROJECTION EXCEEDING 5 FT FROM VEHICLE,
307.170-005N199654,Motor Vehicle,54,FAILED TO DISPLAY RED FLAG/LAMP ON PROJECTION EXCEEDING 5 FEET FROM VEHICLE,
307.172-003N201054,Motor Vehicle,54,OPERATE MOTOR VEHICLE WITHOUT PROPERLY EQUIPPED BUMPERS,
307.172-004N201054,Motor Vehicle,54,OPERATE PASSENGER VEHICLE WITH FRONT/REAR RAISED TO ANGLE TO OBSTRUCT DRIVER'S VISION OF HIGHWAY,
307.170-994N197554,Motor Vehicle,54,TOWED ANOTHER VEHICLE WITH SEPARATION BETWEEN GREATER THAN 15 FEET,
307.170-993N199354,Motor Vehicle,54,TOWED VEHICLE WITH IMPROPER SECONDARY SAFETY DEVICE,
307.170-992N199154,Motor Vehicle,54,TOWED VEHICLE WITH IMPROPER SECONDARY SAFETY DEVICE,
307.170-006N199654,Motor Vehicle,54,TOWED ANOTHER VEHICLE WITH SEPARATION BETWEEN GREATER THAN 15 FEET,
307.170-007N199654,Motor Vehicle,54,TOWED VEHICLE WITH IMPROPER SECONDARY SAFETY DEVICE,
307.170-991N197554,Motor Vehicle,54,FAILED TO DISPLAY LIGHTED HEADLAMPS/TAILLAMPS ON VEHICLE BEING TOWED,
307.170-008N199654,Motor Vehicle,54,OPERATED MOTOR VEHICLE ON HIGHWAY WITH ATTACHED/TOWED HAY TRANSPORTING DEVICE IN DANGEROUS POSITION,
307.170-990N199154,Motor Vehicle,54,ATTACH HAY-TRAN DEVICE TO VEH/TOWED DEVICE HAZARDOUSLY,
307.170-009N199654,Motor Vehicle,54,FAILED TO DISPLAY LIGHTED HEADLAMPS/TAILLAMPS ON VEHICLE BEING TOWED,
307.172-999N195054,Motor Vehicle,54,OPERATED PASSENGER MOTOR VEHICLE WITH FRONT/REAR RAISED TO ANGLE TO OBSTRUCT DRIVER'S VISION OF HIGHWAY,
307.172-998N198654,Motor Vehicle,54,OPERATED MOTOR VEHICLE WITH FRONT/REAR BUMPER(S) RAISED MORETHAN 6 INCHES ABOVE MANUFACTURER'S HEIGHT,
307.172-997N200954,Motor Vehicle,54,OPERATE MOTOR VEHICLE WITH FRONT/REAR BUMPER(S) RAISED ABOVE MAXIMUM BUMPER HEIGHTS,
307.172-996N198654,Motor Vehicle,54,OPERATED MOTOR VEHICLE HAVING BUMPER(S) AS STANDARD EQUIPMENT WITHOUT FRONT/REAR BUMPERS,
307.172-995N198754,Motor Vehicle,54,OPERATED MOTOR VEHICLE WITHOUT PROPERLY EQUIPPED BUMPERS,
307.175-001N198154,Motor Vehicle,54,USED SIREN/BLUE LAMP ON MOTOR VEHICLE/OTHER EMERGENCY EQUIPMENT WHEN NOT RESPONDING TO BONA FIDE EMERGENCY,
307.172-994N200954,Motor Vehicle,54,OPERATE MOTOR VEHICLE HAVING BUMPER(S) AS STANDARD EQUIPMENT WITHOUT FRONT/REAR BUMPERS,
307.172-993N200954,Motor Vehicle,54,OPERATE MOTOR VEHICLE WITHOUT PROPERLY EQUIPPED BUMPERS,
307.172-992N200954,Motor Vehicle,54,OPERATE PASSENGER VEHICLE WITH FRONT/REAR RAISED TO ANGLE TO OBSTRUCT DRIVER'S VISION OF HIGHWAY,
307.175-002N198154,Motor Vehicle,54,USED SIREN/BLUE LAMP ON MOTOR VEHICLE WITHOUT VALID PERMIT FROM CHIEF FIRE DEPARTMENT/AMBULANCE ASSOCIATION,
307.183-001N197554,Motor Vehicle,54,FAILED TO EQUIP BICYCLE WITH BRAKES THAT WILL STOP WITHIN 25 FEET AT 10 MILES PER HOUR,
307.185-001N197554,Motor Vehicle,54,USE BICYCLE WITHOUT FRONT LIGHTED LAMP/RED REAR REFLECTOR (OR WITH INADEQUATE LAMP/REFLECTOR),
390.131-991N190054,Motor Vehicle,54,FAILED TO EQUIP MTR CARRIER VEH WITH SYS CAPABLE OF SIGNALING TURNING MOVEMENTS,
390.131-990N190054,Motor Vehicle,54,FAILED TO PROPERLY INSTALL/PROTECT/COVER BATTERY OR WIRING ON MOTOR CARRIER VEHI,
390.131-989N190054,Motor Vehicle,54,FAILED TO EQUIP MTR CARRIER VEH WITH REQD BRAKE SYSTEMS/MAINTAIN CAPABLE BRAKES,
390.131-988N190054,Motor Vehicle,54,OPERATED MTR CARRIER VEH WITH VISION REDUCING DAM/DISCOLORATION/GLAZING COVERED,
390.131-987N190054,Motor Vehicle,54,FAILED TO PROPERLY MOUNT/SECURE/VENT/MAINTAIN FUEL TANK/LINES ON MTR CARRIER VEH,
390.131-986N190054,Motor Vehicle,54,OPERATED MTR CARRIER VEH WITH 5TH WHEEL IN POSITION TO INTEFERE WITH SAFETY/WEIG,
390.131-985N190054,Motor Vehicle,54,OPERATED MTR CARRIER VEH ON TIRES FABRIC EXPOSED/INFERIOR LD RATE/GROOVE DEPTH,
390.131-984N190054,Motor Vehicle,54,OPERATED MTR CARRIER VEH WITH WIPERS NOT IN COND TO PROVIDE CLEAR DRIVER VISION,
390.131-983N190054,Motor Vehicle,54,OPERATED MTR CARRIER VEH IN ICE/SNOW/FROST CONDITIONS W/O A DEFROSTING DEVICE,
390.131-982N190054,Motor Vehicle,54,FAILED TO EQUIP MTR CARRIER VEH WITH MIRRORS CAPABLE REFLECTING CLEAR REAR VIEW,
390.131-981N190054,Motor Vehicle,54,OPERATED MTR CARRIER VEH WITH EXHAUST SYSTEM DISCHARGE IMPROPERLY LOCATED,
390.131-980N190054,Motor Vehicle,54,OPERATED/DISP MTR CARRIER VEH KNOWING DEFECT IN EXHAUST COULD BE HAZARD TO OCCUP,
390.131-979N190054,Motor Vehicle,54,FAILED TO DISPLAY RED FLAG/LAMP ON PROJECTION EXCEEDING 4 FT FROM MTR CARRIER VE,
390.131-978N190054,Motor Vehicle,54,FAILED TO EQUIP MTR CARRIER POWER UNIT WITH FIRE EXT PROPERLY FILLED/ACCESSIBLE,
390.131-977N190054,Motor Vehicle,54,FAILED TO EQUIP MTR CARRIER VEH WITH DEVICES TO ASSURE LOAD WOULD NOT SHIFT/FALL,
390.131-976N190054,Motor Vehicle,54,OPR MTR CARR VEH W/TOW BAR W/O SAFETY COUPLING DEVICE UNATTACHED OR IMPROPER,
390.131-975N190054,Motor Vehicle,54,MISC FEDERAL MTR CARRIER CODE,
307.400-010N201054,Motor Vehicle,54,OPERATE MOTOR CARRIER VEHICLE WITH IMPROPER/DEFECTIVE LIGHTS/SIGNALING DEVICE/REFLECTOR OR ELECTRIC DEVICES,
307.400-011N201054,Motor Vehicle,54,OPERATE MOTOR CARRIER VEHICLE WITH VISION REDUCING DAMAGE/VISION DISCOLORATION/GLAZING COVERED,
307.400-012N201054,Motor Vehicle,54,FAIL TO EQUIP MOTOR CARRIER VEHICLE WITH/MAINTAIN REQUIRED BRAKE SYSTEM,
307.400-013N201054,Motor Vehicle,54,FAIL TO PROPERLY INSTALL/PROTECT/COVER BATTERY OR WIRING ON MOTOR CARRIER VEHICLE,
307.390-001N201054,Motor Vehicle,54,MOTOR VEHICLE INSPECTION VIOLATION,
307.390-999N200954,Motor Vehicle,54,MOTOR VEHICLE INSPECTION VIOLATION,
307.390-998N197454,Motor Vehicle,54,MOTOR VEHICLE INSPECTION VIOLATION,
302.755-001N199554,Motor Vehicle,54,VIOLATED AN OUT-OF-SERVICE ORDER WHILE TRANSPORTING HAZARDOUS MATERIALS - 1ST OFFENSE,
302.755-002N199554,Motor Vehicle,54,VIOLATED AN OUT-OF-SERVICE ORDER WHILE TRANSPORTING HAZARDOUS MATERIALS - 2ND OR SUBSEQUENT OFFENSE,
302.755-999N199554,Motor Vehicle,54,VIOLATE OUT-OF-SERVICE ORDER WHILE OPERATING MOTOR VEHICLE DESIGNED TO TRANSPORT MORE THAN 15 PASSENGERS INCLUDING THE DRIVER-1ST OFFENSE,
302.755-998N199554,Motor Vehicle,54,VIOLATE OUT OF SERVICE ORDER WHILE OPERATING A MOTOR VEHICLE DESIGNED TO TRANSPORT MORE THAN 15 PASSENGERS INCLUDING THE DRIVER-2ND AND SUBSEQUENT OFFENSE,
307.400-981N197554,Motor Vehicle,54,OPERATED MOTOR CARRIER VEHICLE WITH IMPROPER/DEFECTIVE LIGHTS/SIGNALING DEVICES OR REFLECTORS/ELECTRIC DEVICES,
390.063-992N197554,Motor Vehicle,54,OPERATE COMMERCIAL PASSENGER-CARRYING VEHICLE WITH IMPROPER/DEFECTIVE LIGHTS OR SIGNALING DEVICES OR REFLECTORS/ELECTRIC DEVICES,
302.755-003N200554,Motor Vehicle,54,VIOLATE OUT-OF-SERVICE ORDER WHILE OPERATING MOTOR VEHICLE DESIGNED TO TRANSPORT MORE THAN 16 PASSENGERS INCLUDING DRIVER - 1ST OFFENSE,
302.755-004N200554,Motor Vehicle,54,VIOLATE OUT-OF-SERVICE ORDER WHILE OPERATING MOTOR VEHICLE DESIGNED TO TRANSPORT MORE THAN 16 PASSENGERS INCLUDING DRIVER - 2ND OR SUBSEQUENT OFFENSE,
307.400-980N200954,Motor Vehicle,54,OPERATE MOTOR CARRIER VEHICLE WITH IMPROPER/DEFECTIVE LIGHTS/SIGNALING DEVICE/REFLECTOR OR ELECTRIC DEVICES,
307.400-979N197554,Motor Vehicle,54,FAILED TO PROPERLY INSTALL/PROTECT/COVER BATTERY OR WIRING ON MOTOR CARRIER VEHICLE,
390.063-991N197554,Motor Vehicle,54,FAILED TO PROPERLY INSTALL/PROTECT/COVER BATTERY OR WIRING ON PASSENGER-CARRYING VEHICLE,
577.612-001Y199554,Motor Vehicle,54,TAMPER OR CIRCUMVENT OPERATION OF IGNITION INTERLOCK DEVICE,
577.600-002N199554,Motor Vehicle,54,FAILURE TO NOTIFY PERSON RENTING/LEASING/LENDING MOTOR VEHICLE OF REQUIREMENT TO USE IGNITION INTERLOCK DEVICE,
577.600-003Y199554,Motor Vehicle,54,FAIL TO COMPLY WITH COURT ORDER REQUIRING USE OF IGNITION INTERLOCK DEVICE - 1ST OFFENSE,
307.400-978N197554,Motor Vehicle,54,FAIL TO EQUIP MOTOR CARRIER VEHICLE WITH REQUIRED BRAKE SYSTEM OR MAINTAIN CAPABLE BRAKES,
390.063-990N197554,Motor Vehicle,54,FAIL TO EQUIP COMMERCIAL PASSENGER-CARRYING VEHICLE WITH REQUIRED BRAKE SYSTEM OR MAINTAIN CAPABLE BRAKES,
577.600-004Y199554,Motor Vehicle,54,FAIL TO COMPLY WITH COURT ORDER REQUIRING USE OF IGNITION INTERLOCK DEVICE - 2ND OFFENSE,
307.400-977N200954,Motor Vehicle,54,FAIL TO PROPERLY INSTALL/PROTECT/COVER BATTERY OR WIRING ON MOTOR CARRIER VEHICLE,
307.400-976N200954,Motor Vehicle,54,FAIL TO EQUIP MOTOR CARRIER VEHICLE WITH/MAINTAIN REQUIRED BRAKE SYSTEM,
307.400-975N197554,Motor Vehicle,54,OPERATE MOTOR CARRIER VEHICLE WITH VISION REDUCING DAMAGE/VISION DISCOLORATION/GLAZING COVERED,
390.063-989N197554,Motor Vehicle,54,OPERATED COMMERCIAL PASSENGER-CARRYING VEHICLE WITH VISION REDUCING DAMAGE/VISION DISCOLORATION/GLAZING COVERED,
307.400-974N200954,Motor Vehicle,54,OPERATE MOTOR CARRIER VEHICLE WITH VISION REDUCING DAMAGE/VISION DISCOLORATION/GLAZING COVERED,
307.400-973N197554,Motor Vehicle,54,FAIL TO PROPERLY MOUNT/SECURE/VENT/MAINTAIN FUEL TANK/LINES ON MOTOR CARRIER VEHICLE,
390.063-988N197554,Motor Vehicle,54,FAILED TO PROPERLY MOUNT/SECURE/VENT/MAINTAIN FUEL TANK/LINES ON COMMERCIAL PASSENGER-CARRYING VEHICLE,
307.400-972N200954,Motor Vehicle,54,FAIL TO PROPERLY MOUNT/SECURE/VENT/MAINTAIN FUEL TANK/LINES ON MOTOR CARRIER VEHICLE,
307.400-014N201054,Motor Vehicle,54,FAIL TO PROPERLY MOUNT/SECURE/VENT/MAINTAIN FUEL TANK/LINES ON MOTOR CARRIER VEHICLE,
307.400-971N197554,Motor Vehicle,54,OPERATED MOTOR CARRIER VEHICLE WITH 5TH WHEEL IN POSITION TO INTERFERE WITH SAFETY OR WEIGHT,
307.400-970N200954,Motor Vehicle,54,OPERATE MOTOR CARRIER VEHICLE WITH 5TH WHEEL IN POSITION TO INTERFERE WITH SAFETY/WEIGHT,
307.400-015N201054,Motor Vehicle,54,OPERATE MOTOR CARRIER VEHICLE WITH 5TH WHEEL IN POSITION TO INTERFERE WITH SAFETY/WEIGHT,
307.400-969N197554,Motor Vehicle,54,OPERATED MOTOR CARRIER VEHICLE ON TIRES WITH FABRIC EXPOSED/INFERIOR LOAD RATE/GROOVE DEPTH,
390.063-987N197554,Motor Vehicle,54,OPERATED COMMERCIAL PASSENGER-CARRYING VEHICLE ON TIRES WITH FABRIC EXPOSED OR INFERIOR LOAD RATE/GROOVE DEPTH,
307.400-968N200954,Motor Vehicle,54,OPERATE MOTOR CARRIER VEHICLE ON TIRES WITH FABRIC EXPOSED/INFERIOR LOAD RATE/GROOVE DEPTH,
307.400-016N201054,Motor Vehicle,54,OPERATE MOTOR CARRIER VEHICLE ON TIRES WITH FABRIC EXPOSED/INFERIOR LOAD RATE/GROOVE DEPTH,
307.400-967N197554,Motor Vehicle,54,OPERATED MOTOR CARRIER WITH WIPERS NOT IN CONDITION TO PROVIDE CLEAR DRIVER VISION,
390.063-986N197554,Motor Vehicle,54,OPERATED COMMERCIAL PASSENGER-CARRYING VEHICLE WITH WIPERS NOT IN CONDITION TO PROVIDE CLEAR DRIVER VISION,
307.400-966N200954,Motor Vehicle,54,OPERATE MOTOR CARRIER VEHICLE WITH WIPERS NOT IN CONDITION TO PROVIDE CLEAR DRIVER VISION,
307.400-017N201054,Motor Vehicle,54,OPERATE MOTOR CARRIER VEHICLE WITH WIPERS NOT IN CONDITION TO PROVIDE CLEAR DRIVER VISION,
307.400-965N197554,Motor Vehicle,54,OPERATE MOTOR CARRIER VEHICLE IN ICE/SNOW/FROST CONDITIONS WITHOUT DEFROSTING DEVICE,
390.063-985N197554,Motor Vehicle,54,OPERATED COMMERCIAL PSSSENGER-CARRYING VEHICLE IN ICE/SNOW/FROST CONDITIONS WITHOUT A DEFROSTING DEVICE,
307.400-964N200954,Motor Vehicle,54,OPERATE MOTOR CARRIER VEHICLE IN ICE/SNOW/FROST CONDITIONS WITHOUT A DEFROSTING DEVICE,
307.400-018N201054,Motor Vehicle,54,OPERATE MOTOR CARRIER VEHICLE IN ICE/SNOW/FROST CONDITIONS WITHOUT A DEFROSTING DEVICE,
307.400-019N201054,Motor Vehicle,54,FAIL TO DISPLAY RED FLAG/LAMP ON PROJECTION EXCEEDING 4 FEET FROM MOTOR CARRIER VEHICLE,
307.400-963N197554,Motor Vehicle,54,FAIL TO EQUIP MOTOR CARRIER VEHICLE WITH MIRRORS CAPABLE OF REFLECTING CLEAR REAR VIEW,
390.063-984N197554,Motor Vehicle,54,FAILED TO EQUIP COMMERCIAL PASSENGER-CARRYING VEHICLE WITH MIRRORS CAPABLE OF REFLECTING CLEAR REAR VIEW,
307.400-962N200954,Motor Vehicle,54,FAIL TO EQUIP MOTOR CARRIER VEHICLE WITH MIRRORS CAPABLE OF REFLECTING CLEAR REAR VIEW,
307.400-020N201054,Motor Vehicle,54,FAIL TO EQUIP MOTOR CARRIER VEHICLE WITH MIRRORS CAPABLE OF REFLECTING CLEAR REAR VIEW,
307.400-021N201054,Motor Vehicle,54,OPERATE MOTOR CARRIER VEHICLE WITH IMPROPER/DEFECTIVE TOW BAR/5TH WHEEL/SADDLE MOUNT OR PINTLE,
307.400-022N201054,Motor Vehicle,54,FAIL TO EQUIP MOTOR CARRIER POWER UNIT WITH FIRE EXTINGUISHER PROPERLY FILLED/ACCESSIBLE,
307.400-023N201054,Motor Vehicle,54,FAIL TO EQUIP MOTOR CARRIER VEHICLE WITH DEVICES TO ASSURE LOAD WOULD NOT SHIFT/FALL,
307.400-024N201054,Motor Vehicle,54,OPERATE COMMERCIAL MOTOR VEHICLE OR TRAILER THAT WAS DECLARED OUT-OF-SERVICE FOR INADEQUATE/DEFECTIVE EQUIP/HAZARDOUS MATERIAL MARKINGS,
307.400-025N201054,Motor Vehicle,54,MISCELLANEOUS FEDERAL MOTOR CARRIER CODE - ANY FEDERAL MOTOR CARRIER CHARGE NOT ITEMIZED IN THIS SECTION SHALL BE ASSIGNED THIS CODE,
307.400-026N201054,Motor Vehicle,54,OPERATE COMMERCIAL MOTOR VEHICLE WHILE DRIVER IS SUBJECT TO AN OUT-OF-SERVICE ORDER,
307.400-961N197554,Motor Vehicle,54,OPERATED/DISPATCHED MOTOR CARRIER VEHICLE KNOWING DEFECT IN EXHAUST COULD BE HAZARDOUS TO OCCUPANT,
390.063-983N197554,Motor Vehicle,54,OPERATED/DISPATCHED COMMERCIAL PASSENGER-CARRYING VEHICLE WITH IMPROPER EXHAUST SYSTEM,
307.400-960N200954,Motor Vehicle,54,OPERATE/DISPLAY MOTOR CARRIER VEHICLE KNOWING DEFECT IN EXHAUST COULD BE HAZARDOUS TO OCCUPANT,
